HAPPY,DISGUSTED,CALM ,SAD,FEAR,CONFUSED,SURPRISED,ANGRY,emotion
0.00 ,0.00 ,3.99 ,91.57 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,97.44 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.97 ,95.46 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.35 ,96.31 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,2.30 ,90.62 ,0.00 ,3.12 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,98.58 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,1.79 ,96.77 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,97.70 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,98.41 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,24.92 ,59.50 ,0.00 ,5.36 ,0.00 ,0.00 ,n
0.00 ,0.00 ,0.00 ,96.65 ,0.00 ,0.00 ,0.00 ,0.00 ,n
0.00 ,0.00 ,6.36 ,81.82 ,0.00 ,0.00 ,0.00 ,4.16 ,n
99,0,0.2,0,0,0,0,0,p
99,0.1,0.1,0,0,0,0,0,p
99,0,0.09,0,0,0,0,0,p
99,0,0.07,0,0,0,0,0,p
97,0,0.8,0,0,0,0,0,p
95,0,1,1,0,0,0,0,p
95,0,0.9,0,0,0,0,0,p
94,0,1,0,0,0,0,0,p
88,0,6,2,0,0,0,0,p
76,12,3,0,0,0,0,0,p
75,0,7,5,0,0,0,0,p
70,0,9,13,0,0,0,0,p
69,0,15,8,0,0,0,0,p
49,0,17,16,0,0,0,0,p
47,0,30,7,0,0,0,0,p
45,0,22,11,0,0,0,0,p
45,0,9,31,0,0,0,4,p
99,0,0,0,0,0,0.06,0,p
99,0,0,0,0,0,0.08,0,p
99,0,0,0,0.3,0,0,0,p
99,0,0,0,0,0,0,0.1,p
99,0,0,0,0,0,0,0.05,p
98,0.3,0,0,0,0,0,0,p
98,0.6,0,0,0,0,0,0,p
97,1,0,0,0,0,0,0,p
97,0,0,0,0,0,0.5,0,p
96,0,0,0,0,0,0,0.8,p
96,0,0,0,0,0,0,0.8,p
96,1.1,0,0,0,0,0,0.4,p
95,0,0,0,0.8,0,0,0.8,p
95,1.3,0,0,0,0,0,0,p
95,1.7,0,0,0,0,0,0,p
95,0,0,0,0,0,0,1,p
91,4,0,0,0,0,0,0,p
53,33,0,0,0,0,0,3,p
22,58,9,0,0,0,0,0,p
19,0,53,0,0,12,0,0,p
19,18,22,0,0,18,0,0,p
15,0,64,0,0,0,14,0,p
12,0,53,8,0,16,0,0,p
6,0,78,11,0,0,0,0,p
0,9,0,0,0,70,0,0,p
0,0,96,2,0,0,0,0.6,z
0,0,96,2,0,0,0,0.4,z
0,0,93,4,0,0,0,0,z
0,0,93,4,0,0,0,1,z
0,0,93,3,0,0,0,1,z
0,0,90,6,0,0,0,1,z
0,0,89,8,0,0.8,0,0,z
0,0,89,7,0,0,0,1,z
0,0,87,10,0,0,0,0,z
0,0,87,8,0,1,0,0,z
0,0,87,6,0,2,0,0,z
0,0,85,8,0,2,0,0,z
0,0,84,13,0,0,0,0.8,z
3,0,84,9,0,0,0,0,z
3,0,84,4.5,0,0,0,0,z
