HAPPY,FEAR,ANGRY,SAD,DISGUSTED,SURPRISED,CONFUSED ,CALM,emotion
14,0,0,0,0,0,16,51,n
0,0,1.5,46,0,0,0,50,n
10,0,0,0,0,0,21,50,n
0,0,1.2,46,0,0,0,49,n
0,0,0,7,0,0,38,47,n
0,0,1.1,55,0,0,0,41,n
0,0,0,26,0,0,23,40,n
0,0,1.6,56,0,0,0,38,n
42,0,0,0,0,0,0,38,n
7,0,0,50,0,0,0,37,n
0,0,1.7,70,0,0,0,25,n
0,0,2,74,0,0,0,20,n
51,0,0,21,0,0,0,18,n
0,0,0,81,0,0,1,15,n
,,,,,,,,
